iter	RMSE
0	14.1591639
1	13.40192627
2	12.72755683
3	12.04838705
4	11.47996073
5	10.93561655
6	10.49530923
7	10.01954887
8	9.622379389
9	9.214644035
10	8.908612289
11	8.602983876
12	8.305441426
13	8.066578126
14	7.840028304
15	7.642044421
16	7.462650799
17	7.299471944
18	7.163034893
19	7.015063159
20	6.895294603
21	6.780208573
22	6.673536357
23	6.553631601
24	6.47310338
25	6.395077858
26	6.333346503
27	6.266962316
28	6.208946158
29	6.152465225
30	6.095370959
31	6.044782045
32	5.999982396
33	5.957229364
34	5.925613524
35	5.884030774
36	5.84904975
37	5.809582212
38	5.783549644
39	5.76204288
40	5.742994607
41	5.713487956
42	5.682402607
43	5.662199117
44	5.643553096
45	5.617305449
46	5.599057902
47	5.584155644
48	5.5613092
49	5.546784786
50	5.533273401
51	5.522355987
52	5.504454827
53	5.498655082
54	5.48672842
55	5.467192352
56	5.458907251
57	5.447408659
58	5.440795465
59	5.430728855
60	5.417729262
61	5.408045781
62	5.402910742
63	5.39190612
64	5.386457771
65	5.378998925
66	5.371932087
67	5.363229146
68	5.350772171
69	5.346443924
70	5.339307342
71	5.331191289
72	5.325368303
73	5.31976121
74	5.316813331
75	5.310967871
76	5.306790257
77	5.301187193
78	5.296366026
79	5.29223282
80	5.287717431
81	5.285064596
82	5.281151911
83	5.272432751
84	5.271652372
85	5.268471588
86	5.265971841
87	5.262383532
88	5.254125453
89	5.252116991
90	5.246889227
91	5.244327456
92	5.240448402
93	5.240029631
94	5.237509747
95	5.23182914
96	5.228817792
97	5.228456281
98	5.228008155
99	5.227695434
